| Mnemonic           | Extension            | Description          | Example
| ------------------ | -------------------- | -------------------- | -------
| `add`              | `I`
| `addi`             | `I`
| `addiw`            | `I`
| `addw`             | `I`
| `amoadd.d`         | `A`
| `amoadd.w`         | `A`
| `amoand.d`         | `A`
| `amoand.w`         | `A`
| `amomax.d`         | `A`
| `amomax.w`         | `A`
| `amomaxu.d`        | `A`
| `amomaxu.w`        | `A`
| `amomin.d`         | `A`
| `amomin.w`         | `A`
| `amominu.d`        | `A`
| `amominu.w`        | `A`
| `amoor.d`          | `A`
| `amoor.w`          | `A`
| `amoswap.d`        | `A`
| `amoswap.w`        | `A`
| `amoxor.d`         | `A`
| `amoxor.w`         | `A`
| `and`              | `I`
| `andi`             | `I`
| `auipc`            | `I`
| `beq`              | `I`
| `beqz`             | `pseudo-instruction`
| `bge`              | `I`
| `bgeu`             | `I`
| `bgez`             | `pseudo-instruction`
| `bgt`              | `pseudo-instruction`
| `bgtu`             | `pseudo-instruction`
| `bgtz`             | `pseudo-instruction`
| `ble`              | `pseudo-instruction`
| `bleu`             | `pseudo-instruction`
| `blez`             | `pseudo-instruction`
| `blt`              | `I`
| `bltu`             | `I`
| `bltz`             | `pseudo-instruction`
| `bne`              | `I`
| `bnez`             | `pseudo-instruction`
| `call`             | `pseudo-instruction`
| `csrc`             | `pseudo-instruction`
| `csrci`            | `pseudo-instruction`
| `csrr`             | `pseudo-instruction`
| `csrrc`            | `Zicsr`
| `csrrci`           | `Zicsr`
| `csrrs`            | `Zicsr`
| `csrrsi`           | `Zicsr`
| `csrrw`            | `Zicsr`
| `csrrwi`           | `Zicsr`
| `csrs`             | `pseudo-instruction`
| `csrsi`            | `Zicsr`
| `csrw`             | `pseudo-instruction`
| `csrwi`            | `Zicsr`
| `div`              | `M`
| `divu`             | `M`
| `divuw`            | `M`
| `divw`             | `M`
| `ebreak`           | `I`
| `ecall`            | `I`
| `fabs.d`           | `pseudo-instruction`
| `fabs.s`           | `pseudo-instruction`
| `fadd.d`           | `D`
| `fadd.q`           | `Q`
| `fadd.s`           | `F`
| `fclass.d`         | `D`
| `fclass.q`         | `Q`
| `fclass.s`         | `F`
| `fcvt.d.l`         | `D`
| `fcvt.d.lu`        | `D`
| `fcvt.d.q`         | `D`
| `fcvt.d.s`         | `D`
| `fcvt.d.w`         | `D`
| `fcvt.d.wu`        | `D`
| `fcvt.l.d`         | `D`
| `fcvt.l.q`         | `Q`
| `fcvt.l.s`         | `F`
| `fcvt.lu.d`        | `D`
| `fcvt.lu.q`        | `Q`
| `fcvt.lu.s`        | `F`
| `fcvt.q.d`         | `Q`
| `fcvt.q.l`         | `Q`
| `fcvt.q.lu`        | `Q`
| `fcvt.q.s`         | `Q`
| `fcvt.q.w`         | `Q`
| `fcvt.q.wu`        | `Q`
| `fcvt.s.d`         | `D`
| `fcvt.s.l`         | `F`
| `fcvt.s.lu`        | `F`
| `fcvt.s.q`         | `Q`
| `fcvt.s.w`         | `F`
| `fcvt.s.wu`        | `F`
| `fcvt.w.d`         | `D`
| `fcvt.w.q`         | `Q`
| `fcvt.w.s`         | `F`
| `fcvt.wu.d`        | `D`
| `fcvt.wu.q`        | `Q`
| `fcvt.wu.s`        | `F`
| `fdiv.d`           | `D`
| `fdiv.q`           | `Q`
| `fdiv.s`           | `F`
| `fence`            | `RV32`
| `fence`            | `pseudo-instruction`
| `fence.i`          | `Zifencei`
| `feq.d`            | `D`
| `feq.q`            | `Q`
| `feq.s`            | `F`
| `fld`              | `D`
| `fle.d`            | `D`
| `fle.q`            | `Q`
| `fle.s`            | `F`
| `flq`              | `Q`
| `flt.d`            | `D`
| `flt.q`            | `Q`
| `flt.s`            | `F`
| `flw`              | `F`
| `fmadd.d`          | `D`
| `fmadd.q`          | `Q`
| `fmadd.s`          | `F`
